"日付","合計（円）","預金・現金・仮想通貨（円）","ポイント（円）"
"2019/10/01","204475","197425","7050"
"2019/10/02","294475","287425","7050"
"2019/10/03","294480","287425","7055"
"2019/10/04","294480","287425","7055"
"2019/10/05","225469","218414","7055"
"2019/10/06","225469","218414","7055"
"2019/10/07","225469","218414","7055"
"2019/10/08","225469","218414","7055"
"2019/10/09","225469","218414","7055"
"2019/10/10","225469","218414","7055"
"2019/10/11","225469","218414","7055"
"2019/10/12","225469","218414","7055"
"2019/10/13","225469","218414","7055"
"2019/10/14","225469","218414","7055"
"2019/10/15","403314","385414","17900"
"2019/10/16","403314","385414","17900"
"2019/10/17","403314","385414","17900"
"2019/10/18","401691","383791","17900"
"2019/10/19","401691","383791","17900"
"2019/10/20","401691","383791","17900"
"2019/10/21","401696","383796","17900"
"2019/10/22","401696","383796","17900"
"2019/10/23","401696","383796","17900"
"2019/10/24","401696","383796","17900"
"2019/10/25","401696","383796","17900"
"2019/10/26","401696","383796","17900"
"2019/10/27","401696","383796","17900"
"2019/10/28","401696","383796","17900"
"2019/10/29","401696","383796","17900"
"2019/10/30","511696","493796","17900"
"2019/10/31","511696","493796","17900"
